ID,City,Hospital N,TYPE,ADDRESS,WEBSITE,BEDS,NAICS_DESC,result_num,status,formatted_,place_id,location_t,Latitude,Longitude
96,MARSHALLTOWN,UNITYPOINT HEALTH MARSHALLTOWN,GENERAL ACUTE CARE,THREE SOUTH FOURTH AVENUE,http://www.centraliowahealthcare.com/,125,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"3 S 4th Ave, Marshalltown, IA 50158, USA",ChIJAydpttG674cRiidh9xpsjRA,ROOFTOP,42.0490178,-92.9063574
97,WEBSTER CITY,VAN DIEST MEDICAL CENTER,CRITICAL ACCESS,2350 HOSPITAL DRIVE,http://www.hamiltonhospital.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2350 Hospital Dr, Webster City, IA 50595, USA",ChIJlztGfSb_7YcRHoAX9ZXbc5o,ROOFTOP,42.4525471,-93.81221289999999
98,WINTERSET,MADISON COUNTY HEALTHCARE SYSTEM,CRITICAL ACCESS,300 WEST HUTCHINGS STREET,http://www.madisonhealth.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"300 W Hutchings St, Winterset, IA 50273, USA",ChIJ0YzdoE0M7IcRyPE2cp-m1Xk,ROOFTOP,41.3283224,-94.01703030000002
99,MISSOURI VALLEY,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,CRITICAL ACCESS,631 N 8TH ST,http://www.alegentcreighton.com/community-memorial,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"631 N 8th St, Missouri Valley, IA 51555, USA",ChIJwXv__tqkk4cRrM6egmird90,ROOFTOP,41.5628229,-95.88567959999999
100,CRESTON,GREATER REGIONAL MEDICAL CENTER,CRITICAL ACCESS,1700 WEST TOWNLINE ROAD,http://www.greaterregional.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1700 W Townline St, Creston, IA 50801, USA",ChIJWYRA7o6C64cR5EuQHcjtK2U,ROOFTOP,41.0702556,-94.38390969999999
101,SIOUX CITY,MARIAN BEHAVIORAL HEALTH CENTER,PSYCHIATRIC,2101 COURT STREET,NOT AVAILABLE,-999,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2101 Court St, Sioux City, IA 51104, USA",ChIJn_QPRkP9jYcRMl21S9rZv4I,ROOFTOP,42.5137288,-96.3963801
102,DAVENPORT,SELECT SPECIALTY HOSPITAL-QUAD CITIES,LONG TERM CARE,1111 WEST KIMBERLY ROAD,http://www.selectspecialtyhospitals.com/company/locations/quadciti es.aspx,50,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1111 W Kimberly Rd, Davenport, IA 52806, USA",ChIJs2U-kNg04ocRMZ8maE_MGkA,ROOFTOP,41.5592702,-90.589192
103,WATERLOO,ALLEN MEMORIAL HOSPITAL,GENERAL ACUTE CARE,1825 LOGAN AVENUE,http://www.allenhospital.org,12,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1825 Logan Ave, Waterloo, IA 50703, USA",ChIJCVFYKNVS5YcRpbHz3C65tPA,ROOFTOP,42.5266507,-92.3395639
104,DEWITT,GENESIS MEDICAL CENTER-DEWITT,CRITICAL ACCESS,1118 11TH STREET,http://www.genesishealth.com/facilities/hospital/dewitt/,90,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1118 11th St, DeWitt, IA 52742, USA",ChIJe01Rq5NT4ocR3GstQonec1w,GEOMETRIC_CENTER,41.8263283,-90.5472032
105,NEVADA,STORY COUNTY HOSPITAL,CRITICAL ACCESS,640 SOUTH 19TH STREET,http://www.storymedical.org,17,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"640 S 19th St, Nevada, IA 50201, USA",ChIJVTW-_ZRn7ocRYc73GR7IiLo,ROOFTOP,42.0050087,-93.4371311
106,ROCK RAPIDS,SANFORD ROCK RAPIDS MEDICAL CENTER,CRITICAL ACCESS,801 SOUTH GREENE STREET,http://www.sanfordmerrill.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"801 S Greene St, Rock Rapids, IA 51246, USA",ChIJYcq7iHIRjIcRhCBYTbAKjFg,ROOFTOP,43.4238889,-96.17153859999999
107,CHEROKEE,CHEROKEE MENTAL HEALTH INSTITUTE,PSYCHIATRIC,1200 WEST CEDAR STREET,http://www.dhs.state.ia.us,58,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1200 W Cedar St, Cherokee, IA 51012, USA",EigxMjAwIFcgQ2VkYXIgU3QsIENoZXJva2VlLCBJQSA1MTAxMiwgVVNBIhsSGQoUChIJleWdQGENjYcRG0TNF27bE_UQsAk,RANGE_INTERPOLATED,42.751893,-95.5666956
108,SHELDON,SANFORD SHELDON MEDICAL CENTER,CRITICAL ACCESS,118 NORTH 7TH AVENUE,http://www.sanfordsheldon.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"118 N 7th Ave, Sheldon, IA 51201, USA",ChIJDzVqgnBajIcRtewfochksiM,ROOFTOP,43.187126,-95.84644279999999
109,CLINTON,MERCY MEDICAL CENTER-CLINTON,GENERAL ACUTE CARE,1410 NORTH 4TH STREET,http://www.mercyclinton.com,175,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1410 N 4th St, Clinton, IA 52732, USA",ChIJpTdsS6Bj4ocRsbNP9gxii3w,ROOFTOP,41.8613444,-90.1891751
110,ELKADER,CENTRAL COMMUNITY HOSPITAL,CRITICAL ACCESS,901 DAVIDSON STREET NORTHWEST,http://www.centralcommunityhospital.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"901 Davidson St, Elkader, IA 52043, USA",ChIJK8KeHdpp-4cRRDzvPmkn7Fw,ROOFTOP,42.8600074,-91.415252
111,MARENGO,MARENGO MEMORIAL HOSPITAL,CRITICAL ACCESS,"300 MAY STREET, BOX 228",http://www.marengohospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"300 W May St, Marengo, IA 52301, USA",ChIJk_6nL_Oj5YcRmNdBsTo6JqI,ROOFTOP,41.8020676,-92.0734907
112,MASON CITY,NORTH IOWA MEDICAL CENTER WEST CAMPUS,GENERAL ACUTE CARE,910 NORTH EISENHOWER AVENUE,http://www.mercynorthiowa.com,240,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"910 N Eisenhower Ave, Mason City, IA 50401, USA",ChIJU85uTngI8YcRKqhR0B_XUpA,ROOFTOP,43.1555056,-93.2639195
113,MOUNT PLEASANT,MENTAL HEALTH INSTITUTE,PSYCHIATRIC,1200 EAST WASHINGTON STREET,http://www.dhs.state.ia.us,78,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1200 E Washington St, Mt Pleasant, IA 52641, USA",ChIJ47MNREmV5ocRdH5IxFcJRUo,ROOFTOP,40.9544201,-91.5362679
114,DES MOINES,VA CENTRAL IOWA HEALTHCARE SYSTEM,MILITARY,3600 30TH STREET,http://www.centraliowa.va.gov/,-999,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"3600 30th St, Des Moines, IA 50310, USA",ChIJbbjoLAec7ocRaXMJetPLMOg,ROOFTOP,41.627818,-93.664428
115,LE MARS,FLOYD VALLEY HOSPITAL,CRITICAL ACCESS,714 LINCOLN ST NE,http://www.floydvalleyhospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"714 Lincoln St NE, Le Mars, IA 51031, USA",ChIJR6FL1CHEjYcRezNFeelXFXI,ROOFTOP,42.796123,-96.1555839
116,DAVENPORT,GENESIS MEDICAL CENTER WEST-DAVENPORT,GENERAL ACUTE CARE,1401 W CENTRAL PARK AVE,http://www.genesishealth.com/,502,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1401 W Central Park Ave, Davenport, IA 52804, USA",ChIJ1ynv3cg04ocRoWPI3l5jgTA,ROOFTOP,41.543537,-90.59402759999999
117,MASON CITY,MERCY MEDICAL CENTER-NORTH IOWA,GENERAL ACUTE CARE,1000 FOURTH STREET SW,http://www.mercynorthiowa.com,346,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1000 4th St SW, Mason City, IA 50401, USA",ChIJ3focxAoH8YcRK_53FwYsuI0,ROOFTOP,43.1500243,-93.21654819999999
118,SHENANDOAH,SHENANDOAH MEMORIAL HOSPITAL,CRITICAL ACCESS,300 PERSHING AVENUE,http://www.shenandoahmedcenter.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"300 Pershing Ave, Shenandoah, IA 51601, USA",ChIJD7bpmSDClIcRkMjJCqO4OFU,ROOFTOP,40.7527521,-95.3692562
119,CEDAR RAPIDS,ST. LUKES METHODIST HOSPITAL,GENERAL ACUTE CARE,1026 A AVENUE NE,http://www.stlukescr.org/,540,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1026 A Ave NE, Cedar Rapids, IA 52402, USA",ChIJwWNdbEv35IcR9ap_6bZ3AwM,ROOFTOP,41.9853036,-91.66043220000002
120,NEWTON,SKIFF MEDICAL CENTER,GENERAL ACUTE CARE,204 N FOURTH AVE E,http://www.skiffmed.com,68,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"204 N 4th Ave E, Newton, IA 50208, USA",ChIJm4TBSNwc74cRSUIA3sB5OCQ,ROOFTOP,41.7034206,-93.0509917
121,INDEPENDENCE,BUCHANAN COUNTY HEALTH CENTER,CRITICAL ACCESS,1600 FIRST STREET EAST,http://www.bchealth.info,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1600 1st St E, Independence, IA 50644, USA",ChIJg7kDyM0r5YcRDuGCIAkO2eI,ROOFTOP,42.4702669,-91.87451519999999
122,MOUNT PLEASANT,HENRY COUNTY HEALTH CENTER,CRITICAL ACCESS,407 S WHITE ST,http://www.hchc.org,74,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"407 S White St, Mt Pleasant, IA 52641, USA",ChIJfZPvziCV5ocRUmuUybGeWmk,ROOFTOP,40.963773,-91.55798899999999
123,SIGOURNEY,KEOKUK COUNTY HEALTH CENTER,CRITICAL ACCESS,23019 HIGHWAY 149,http://www.kchc.net,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"23019 IA-149, Sigourney, IA 52591, USA",ChIJbb5c8EDh5YcRisOuCx9-aAo,ROOFTOP,41.3230105,-92.2057451
124,COUNCIL BLUFFS,METHODIST JENNIE EDMUNDSON,GENERAL ACUTE CARE,933 EAST PIERCE STREET,https://www.bestcare.org/jennie-edmundson/,236,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"933 E Pierce St, Council Bluffs, IA 51503, USA",ChIJCdh5TpOEk4cRnDly04ycW3k,ROOFTOP,41.26854640000001,-95.8347527
125,BLOOMFIELD,DAVIS COUNTY HOSPITAL,CRITICAL ACCESS,509 NORTH MADISON STREET,http://www.daviscountyhospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"509 N Madison St, Bloomfield, IA 52537, USA",ChIJ59UjKo8o5ocR0lfBwypu86M,ROOFTOP,40.7594667,-92.41580809999999
126,HAMBURG,GEORGE C GRAPE COMMUNITY HOSPITAL,CRITICAL ACCESS,2959 US HIGHWAY 275,http://www.grapehospital.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2959 US-275, Hamburg, IA 51640, USA",ChIJifSQ2Iv5lIcRASwgngyrpR8,ROOFTOP,40.6204244,-95.6506098
127,GRUNDY CENTER,GRUNDY COUNTY MEMORIAL HOSPITAL,CRITICAL ACCESS,201 EAST J AVENUE,http://www.grundycountyhospital.com,80,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"201 E J Ave, Grundy Center, IA 50638, USA",ChIJp7NtsAno74cR3DKv9G_chNM,ROOFTOP,42.3588585,-92.76497189999999
128,GUTTENBERG,GUTTENBERG MUNICIPAL HOSPITAL,CRITICAL ACCESS,200 MAIN STREET,http://www.guttenberghospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"200 Main St, Guttenberg, IA 52052, USA",ChIJDcOPLIKj_IcRbjc6TdyZPj8,ROOFTOP,42.78584,-91.099187
129,BRITT,HANCOCK COUNTY HEALTH SYSTEM,CRITICAL ACCESS,532 1ST ST NW,http://www.trusthchs.com/hancock-county-health-system,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"532 1st St NW, Britt, IA 50423, USA",ChIJkyxy6kYr8ocRVuKdWsykTzs,ROOFTOP,43.0982377,-93.8080765
130,MUSCATINE,TRINITY MUSCATINE,GENERAL ACUTE CARE,1518 MULBERRY AVENUE,http://www.trinitymuscatine.org,48,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1518 Mulberry Ave, Muscatine, IA 52761, USA",ChIJt-YTO1Tl44cRzOYMJn-DVGA,ROOFTOP,41.4332299,-91.0544985
131,PRIMGHAR,BAUM-HARMON MEMORIAL HOSPITAL,CRITICAL ACCESS,255 NORTH WELCH AVENUE,http://www.baumharmon.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"255 N Welch Ave, Primghar, IA 51245, USA",ChIJK7Ypa0f8jIcRshXY_R4iqXs,ROOFTOP,43.0887574,-95.6235351
132,CORNING,CHI HEALTH - MERCY CORNING,CRITICAL ACCESS,603 ROSARY DRIVE,http://www.chihealth.com/chi-health-mercy-corning,22,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"603 Rosary Dr, Corning, IA 50841, USA",ChIJTS75yYxC64cRqjbeke-eGws,ROOFTOP,40.9888639,-94.7485397
133,LAKE CITY,STEWART MEMORIAL COMMUNITY HOSPITAL,CRITICAL ACCESS,1301 WEST MAIN STREET,http://www.stewartmemorial.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1301 W Main St, Lake City, IA 51449, USA",ChIJKWs4oZJC7YcRzQIXj7opI3c,ROOFTOP,42.2658613,-94.7492748
134,MANNING,MANNING GENERAL HOSPITAL,GENERAL ACUTE CARE,410 MAIN STREET,http://www.mrhcia.com,87,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"307 Main St, Manning, IA 51455, USA",ChIJ09XGczbTkocRANVeBIZs_Gs,ROOFTOP,41.9087783,-95.06539169999999
135,GREENFIELD,ADAIR COUNTY MEMORIAL HOSPITAL,CRITICAL ACCESS,609 SE KENT ST,http://www.adaircountyhealthsystem.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"609 SE Kent St, Greenfield, IA 50849, USA",ChIJ91f5Zu6G7IcRIxfwK0jpILI,ROOFTOP,41.3037145,-94.4519308
136,SIOUX CENTER,SIOUX CENTER COMMUNITY HOSPITAL & HEALTH CENTER,GENERAL ACUTE CARE,605 SOUTH MAIN AVENUE,http://www.schospital.org,90,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"605 S Main Ave, Sioux Center, IA 51250, USA",ChIJn6OZNsIzjIcRz8xWmb7yAjU,ROOFTOP,43.0721777,-96.17609730000001
137,AMES,MARY GREELEY MEDICAL CENTER,GENERAL ACUTE CARE,1111 DUFF AVE,http://www.mgmc.org,220,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1111 Duff Ave, Ames, IA 50010, USA",ChIJa8wYYGVw7ocR16yTJY9Fz4s,ROOFTOP,42.0328049,-93.6118077
138,WAVERLY,WAVERLY MUNICIPAL HOSPITAL,CRITICAL ACCESS,312 9TH STREET SW,http://www.waverlyhealthcenter.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"312 9th St SW, Waverly, IA 50677, USA",ChIJC35grrUJ8IcRScRAEy5WoFA,ROOFTOP,42.7228654,-92.4822861
139,MANCHESTER,REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,709 WEST MAIN STREET,http://www.regmedctr.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"709 W Main St, Manchester, IA 52057, USA",ChIJme0hk0C05IcRWAhwerFC1xs,ROOFTOP,42.48489,-91.4667328
140,MAQUOKETA,JACKSON COUNTY PUBLIC HOSPITAL,CRITICAL ACCESS,700 WEST GROVE STREET,http://www.jcrhc.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"700 W Grove St, Maquoketa, IA 52060, USA",ChIJX1DPbVQD44cR5oAKSz5D06o,ROOFTOP,42.0727304,-90.6738209
141,CHEROKEE,CHEROKEE REGIONAL MEDICAL CENTER,CRITICAL ACCESS,300 SIOUX VALLEY DRIVE,http://www.cherokeermc.org/,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"300 Sioux Valley Dr, Cherokee, IA 51012, USA",ChIJWU6jL44SjYcRJXPVSwJhgec,ROOFTOP,42.7593414,-95.5481112
142,PERRY,DALLAS COUNTY HOSPITAL,CRITICAL ACCESS,610 TENTH STREET,http://www.dallascohospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"610 10th St, Perry, IA 50220, USA",ChIJY33p5sZK7IcR5GYPpbH9fQo,ROOFTOP,41.833395,-94.09298679999999
143,OSKALOOSA,MAHASKA HEALTH PARTNERSHIP,CRITICAL ACCESS,1229 C AVENUE EAST,http://www.mahaskahealth.com,33,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1229 C Ave E, Oskaloosa, IA 52577, USA",ChIJgXT6zppN74cRbx01rl91jPg,ROOFTOP,41.2994761,-92.62992919999999
144,SIOUX CITY,MERCY MEDICAL CENTER SIOUX CITY,GENERAL ACUTE CARE,801 5TH STREET,http://www.mercysiouxcity.com/,484,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"801 5th St, Sioux City, IA 51101, USA",ChIJQ7NGt3v9jYcRtRx1DkNeuuI,ROOFTOP,42.4956386,-96.4009146
